year,cbsa_code,cbsa_title,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income,population_yoy,income_yoy
2018,22020,"Fargo, ND-MN Metro Area",237003,32.3,62832,34793,106086,55489,42498,56.63,201700,806,26.8,1.87,6.36
2017,22020,"Fargo, ND-MN Metro Area",232660,32.3,59074,32574,103482,54263,42229,56.24,190300,770,26.9,1.93,5.60
2016,22020,"Fargo, ND-MN Metro Area",228254,32.2,55941,31054,100451,52757,41118,56.20,176900,733,26.8,2.18,2.47
2015,22020,"Fargo, ND-MN Metro Area",223379,32.0,54590,30187,97878,51774,39676,56.61,167700,714,27.0,2.33,1.78
2014,22020,"Fargo, ND-MN Metro Area",218290,31.9,53634,29754,95602,50923,38635,56.86,161400,698,27.4,2.14,2.07
2013,22020,"Fargo, ND-MN Metro Area",213718,31.8,52547,28861,93653,50713,37566,57.45,157600,678,27.5,2.17,2.21
2012,22020,"Fargo, ND-MN Metro Area",209177,31.8,51411,28637,92197,50485,36596,57.97,154400,649,27.4,1.91,2.64
2011,22020,"Fargo, ND-MN Metro Area",205254,31.6,50091,27893,90887,49892,35937,58.13,150400,631,28.4,1.86,3.74
2010,22020,"Fargo, ND-MN Metro Area",201499,31.6,48284,26719,89306,49149,35451,58.10,147400,607,28.3,,
2023,22060,"Faribault-Northfield, MN Micro Area",67389,37.1,82792,38276,25173,17714,5631,75.88,298500,1046,28.9,0.35,5.85
2022,22060,"Faribault-Northfield, MN Micro Area",67152,37.1,78214,37050,25064,17566,5699,75.50,279700,1021,28.8,0.53,9.57
2021,22060,"Faribault-Northfield, MN Micro Area",66795,36.9,71384,33383,24930,17288,5790,74.91,240400,951,28.5,0.37,1.11
2020,22060,"Faribault-Northfield, MN Micro Area",66549,36.6,70600,31792,25161,17247,5936,74.40,232800,882,29.0,0.55,2.94
2019,22060,"Faribault-Northfield, MN Micro Area",66185,36.5,68584,31221,25014,17018,5987,73.98,208600,843,29.6,0.64,4.30
2018,22060,"Faribault-Northfield, MN Micro Area",65765,36.5,65758,29767,24864,17172,5873,74.52,196500,837,29.6,0.79,3.87
2017,22060,"Faribault-Northfield, MN Micro Area",65251,36.6,63311,28603,24788,17012,5887,74.29,188400,796,30.0,0.21,2.64
2016,22060,"Faribault-Northfield, MN Micro Area",65116,36.5,61683,27856,24564,16795,5859,74.14,184400,760,28.4,0.35,3.50
2015,22060,"Faribault-Northfield, MN Micro Area",64886,36.4,59598,26660,24531,16655,5877,73.92,185200,722,28.4,0.09,-1.27
2014,22060,"Faribault-Northfield, MN Micro Area",64829,35.7,60365,26192,24515,16972,5526,75.44,187100,738,29.4,0.38,0.75
2013,22060,"Faribault-Northfield, MN Micro Area",64585,35.4,59915,25370,24413,16835,5464,75.50,187500,750,28.1,0.65,-0.87
2012,22060,"Faribault-Northfield, MN Micro Area",64171,34.9,60438,25245,24414,17083,5349,76.15,197100,759,27.9,0.91,1.52
2011,22060,"Faribault-Northfield, MN Micro Area",63594,34.9,59533,24783,24355,17078,5039,77.22,204200,762,30.2,0.80,1.30
2010,22060,"Faribault-Northfield, MN Micro Area",63087,34.3,58771,24678,24151,17123,5090,77.09,210400,729,27.3,,
2023,22100,"Farmington, MO Micro Area",66864,39.2,54813,27266,28815,16670,7443,69.13,155100,786,27.5,0.07,3.26
2022,22100,"Farmington, MO Micro Area",66814,39.4,53083,25304,28780,16575,7398,69.14,141700,748,26.4,-0.53,6.13
2021,22100,"Farmington, MO Micro Area",67168,38.9,50015,23615,28764,16262,7157,69.44,126800,697,27.2,0.77,8.01
2020,22100,"Farmington, MO Micro Area",66653,39.2,46307,22577,30219,16690,7882,67.92,118000,667,27.0,0.02,-0.34
2019,22100,"Farmington, MO Micro Area",66643,39.4,46466,22578,30065,17043,7855,68.45,121000,690,27.9,0.45,1.51
2018,22100,"Farmington, MO Micro Area",66342,39.6,45774,22575,29821,17005,7905,68.27,120700,648,26.9,0.14,6.77
2017,22100,"Farmington, MO Micro Area",66248,39.2,42873,20944,29675,16921,7740,68.61,110200,636,28.1,0.03,3.41
2016,22100,"Farmington, MO Micro Area",66230,38.8,41461,20016,29312,16810,7949,67.89,106100,628,28.6,0.33,4.33
2015,22100,"Farmington, MO Micro Area",66010,38.9,39741,19315,29187,16545,8391,66.35,103500,616,28.9,0.30,6.04
2014,22100,"Farmington, MO Micro Area",65813,38.9,37476,19044,28984,16496,8372,66.33,99600,603,29.5,0.32,0.64
2013,22100,"Farmington, MO Micro Area",65602,38.7,37238,18544,28691,16927,7727,68.66,98900,589,30.9,0.55,1.42
2012,22100,"Farmington, MO Micro Area",65246,38.7,36716,18893,28478,17143,7472,69.64,100000,585,29.6,0.73,-2.43
2011,22100,"Farmington, MO Micro Area",64771,38.2,37630,18844,28237,17227,7292,70.26,101100,546,28.7,0.83,-2.49
2010,22100,"Farmington, MO Micro Area",64239,38.1,38589,18852,27854,17761,6361,73.63,101800,530,28.0,,
2023,22140,"Farmington, NM Metro Area",121178,38.0,53020,26583,48085,28811,12242,70.18,185100,917,28.6,-0.51,4.51
2022,22140,"Farmington, NM Metro Area",121798,36.8,50734,25008,48050,28878,12171,70.35,170700,894,27.9,-0.91,6.84
2021,22140,"Farmington, NM Metro Area",122912,36.4,47485,22857,48072,28729,11910,70.69,155000,839,28.2,-2.15,-0.33
2020,22140,"Farmington, NM Metro Area",125608,36.1,47643,22840,51299,30871,12711,70.83,155000,803,27.6,-0.72,-5.69
2019,22140,"Farmington, NM Metro Area",126515,35.4,50518,23235,51113,30813,12574,71.02,151200,817,27.0,-0.74,-0.13
2018,22140,"Farmington, NM Metro Area",127455,35.0,50582,23206,50931,30986,12148,71.84,150400,811,26.5,-0.60,1.80
2017,22140,"Farmington, NM Metro Area",128221,34.6,49686,22665,50716,30647,11352,72.97,143300,778,27.1,4.64,2.18
2016,22140,"Farmington, NM Metro Area",122537,34.8,48624,22927,49607,29834,11202,72.70,142500,760,27.6,-2.07,-0.10
2015,22140,"Farmington, NM Metro Area",125133,34.2,48671,22460,49562,29820,10823,73.37,145400,744,27.9,-1.75,-0.31
2014,22140,"Farmington, NM Metro Area",127358,33.7,48824,21992,49527,29769,10924,73.16,144100,756,27.4,-0.87,1.30
2013,22140,"Farmington, NM Metro Area",128476,33.2,48196,21260,49248,30413,10532,74.28,148700,748,28.0,-0.10,-1.04
2012,22140,"Farmington, NM Metro Area",128600,32.8,48701,21561,49168,31080,10711,74.37,154300,735,25.9,0.34,-0.66
2011,22140,"Farmington, NM Metro Area",128160,32.5,49024,21471,48995,31443,10772,74.48,154200,704,24.5,0.50,6.14
2010,22140,"Farmington, NM Metro Area",127517,32.3,46189,20725,48412,30863,10904,73.89,149400,683,25.0,,
2023,22180,"Fayetteville, NC Metro Area",389851,32.1,58909,30984,163767,82192,64689,55.96,185900,1150,30.2,-25.39,2.47
2022,22180,"Fayetteville, NC Metro Area",522537,32.8,57488,29510,216276,112369,80727,58.19,175600,1085,29.8,0.72,8.81
2021,22180,"Fayetteville, NC Metro Area",518825,32.7,52835,26664,215212,108773,81165,57.27,153000,988,29.7,-0.89,5.39
2020,22180,"Fayetteville, NC Metro Area",523480,32.5,50133,25134,220640,108960,83545,56.60,146800,940,29.8,0.84,3.45
2019,22180,"Fayetteville, NC Metro Area",519101,32.3,48459,24228,219036,105248,83394,55.79,141000,932,30.7,34.71,5.44
2018,22180,"Fayetteville, NC Metro Area",385345,31.4,45958,23797,166548,75383,66757,53.03,133700,920,31.4,0.00,2.40
2017,22180,"Fayetteville, NC Metro Area",385337,31.2,44883,23085,165516,75170,66703,52.98,132300,883,31.0,2.02,0.79
2016,22180,"Fayetteville, NC Metro Area",377694,31.5,44532,22539,163229,75215,65306,53.53,129700,874,30.4,0.54,1.53
2015,22180,"Fayetteville, NC Metro Area",375678,31.2,43861,22318,161648,75727,63906,54.23,131000,866,30.7,0.44,-1.86
2014,22180,"Fayetteville, NC Metro Area",374036,31.0,44692,22647,159557,76652,62170,55.22,130500,861,30.1,0.85,-1.24
2013,22180,"Fayetteville, NC Metro Area",370875,30.9,45252,22500,157022,77395,59992,56.33,130200,849,29.6,1.14,-0.70
2012,22180,"Fayetteville, NC Metro Area",366697,30.8,45572,22561,154962,78203,56901,57.88,127600,840,29.3,1.24,1.24
2011,22180,"Fayetteville, NC Metro Area",362196,30.8,45016,22383,152494,79075,53850,59.49,123800,816,29.2,1.42,2.91
2010,22180,"Fayetteville, NC Metro Area",357122,30.9,43741,21710,150444,78816,52727,59.92,116900,778,28.9,,
2023,22190,"Fayetteville, TN Micro Area",35617,43.0,63115,34761,16124,11238,3351,77.03,209100,782,22.6,,
2023,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",563436,34.6,77979,40908,229369,130443,79072,62.26,273400,1094,25.0,2.33,6.36
2022,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",550596,34.4,73316,38918,223045,126833,77362,62.11,242800,1010,24.8,2.33,10.14
2021,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",538063,34.4,66565,35173,217139,122334,76160,61.63,204500,927,24.6,2.27,7.78
2020,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",526101,34.2,61761,32942,211669,118213,76587,60.68,186500,868,24.9,2.30,7.22
2019,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",514259,34.0,57603,31119,206826,115569,75284,60.55,176000,833,25.5,-2.31,4.50
2018,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",526412,34.0,55121,29737,212763,118885,75644,61.11,165800,803,25.5,2.38,4.89
2017,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",514166,33.9,52551,28049,209122,115794,73899,61.04,158800,778,25.5,2.09,3.75
2016,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",503642,33.7,50651,26699,205416,114305,71749,61.44,151800,752,26.4,2.14,3.06
2015,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",493095,33.6,49147,25821,203053,112726,69322,61.92,146800,738,27.2,2.01,1.07
2014,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",483396,33.5,48627,25291,201212,111643,66365,62.72,144000,732,27.9,2.00,2.68
2013,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",473913,33.3,47356,24493,199356,111037,64596,63.22,143400,713,28.2,1.98,2.00
2012,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",464729,33.2,46428,24167,197786,110274,63119,63.60,146000,695,28.2,2.01,0.64
2011,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",455576,33.1,46131,24016,195792,109198,61910,63.82,150800,692,28.0,2.23,1.46
2010,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",445626,32.9,45466,23315,191958,107829,60460,64.07,150700,675,27.5,,
2023,22260,"Fergus Falls, MN Micro Area",60281,46.3,70912,38723,36669,19934,5247,79.16,252500,805,28.0,0.35,4.30
2022,22260,"Fergus Falls, MN Micro Area",60072,46.1,67990,37202,36513,19963,4947,80.14,234200,769,26.8,0.58,6.92
2021,22260,"Fergus Falls, MN Micro Area",59728,46.3,63587,34380,36464,19850,4988,79.92,209100,718,26.9,2.25,6.95
2020,22260,"Fergus Falls, MN Micro Area",58416,46.8,59456,32702,36235,19684,5009,79.71,203800,676,26.7,0.38,1.32
2019,22260,"Fergus Falls, MN Micro Area",58195,46.8,58682,32059,36193,19324,5363,78.28,189100,678,27.0,0.35,2.71
2018,22260,"Fergus Falls, MN Micro Area",57992,46.7,57131,30846,36063,19100,5126,78.84,179500,669,27.6,0.35,3.53
2017,22260,"Fergus Falls, MN Micro Area",57790,46.6,55181,29932,35966,19152,5148,78.81,170900,656,28.1,0.17,3.43
2016,22260,"Fergus Falls, MN Micro Area",57694,46.8,53351,28781,35691,18847,5115,78.65,168900,645,27.6,0.32,1.88
2015,22260,"Fergus Falls, MN Micro Area",57511,46.7,52365,28066,35615,18873,5169,78.50,164900,656,28.7,0.16,2.85
2014,22260,"Fergus Falls, MN Micro Area",57417,46.7,50914,27379,35580,19117,5046,79.12,162000,618,29.6,0.08,3.99
2013,22260,"Fergus Falls, MN Micro Area",57369,46.4,48961,26400,35514,19218,5138,78.90,159700,594,29.3,-0.02,2.90
2012,22260,"Fergus Falls, MN Micro Area",57381,46.0,47579,25561,35593,19278,5116,79.03,161900,580,28.9,-0.11,4.58
2011,22260,"Fergus Falls, MN Micro Area",57442,45.6,45494,24740,35592,19411,5149,79.04,161400,554,28.9,-0.17,4.64
2010,22260,"Fergus Falls, MN Micro Area",57539,45.3,43478,23445,35559,19410,5281,78.61,158600,532,29.5,,
2022,22280,"Fernley, NV Micro Area",59435,43.2,70026,36330,24582,17790,5500,76.38,314200,1196,28.5,2.42,9.50
2021,22280,"Fernley, NV Micro Area",58029,43.6,63952,32568,24120,16992,5350,76.05,264100,1085,28.9,4.24,8.74
2020,22280,"Fernley, NV Micro Area",55667,43.9,58814,29865,23697,15865,5861,73.02,238600,1062,27.8,2.37,3.41
2019,22280,"Fernley, NV Micro Area",54380,43.7,56875,27855,23420,14985,6204,70.72,214900,1033,27.3,2.30,2.49
2018,22280,"Fernley, NV Micro Area",53155,44.1,55493,26855,23170,14524,6004,70.75,183900,976,26.6,1.63,8.98
2017,22280,"Fernley, NV Micro Area",52303,43.8,50920,25063,22979,14248,5879,70.79,158000,919,26.6,0.78,3.90
2016,22280,"Fernley, NV Micro Area",51897,43.7,49007,23519,22427,13446,6140,68.65,143200,886,27.6,0.46,3.71
2015,22280,"Fernley, NV Micro Area",51657,43.2,47255,23173,22419,13702,5822,70.18,131700,904,28.0,0.15,0.24
2014,22280,"Fernley, NV Micro Area",51579,42.6,47143,22709,22444,14185,5543,71.90,129300,922,28.9,-0.13,2.18
2013,22280,"Fernley, NV Micro Area",51648,41.6,46137,21757,22352,13544,5734,70.26,133400,933,30.0,-0.29,0.11
2012,22280,"Fernley, NV Micro Area",51797,40.6,46088,21003,22286,13051,5497,70.36,144000,940,29.8,-0.27,-1.09
2011,22280,"Fernley, NV Micro Area",51937,40.3,46598,21533,22146,12848,5525,69.93,166700,951,30.2,0.82,-3.79
2010,22280,"Fernley, NV Micro Area",51515,39.6,48433,21041,21481,12828,4938,72.21,185000,935,30.5,,
2023,22300,"Findlay, OH Micro Area",74885,39.6,69699,39313,33871,21877,9741,69.19,196500,926,25.9,-0.25,4.02
2022,22300,"Findlay, OH Micro Area",75072,39.4,67006,37479,33733,21580,9763,68.85,179600,877,25.8,-0.09,10.16
2021,22300,"Findlay, OH Micro Area",75139,39.3,60828,34532,33611,21692,9472,69.61,157300,792,25.6,-0.83,6.00
2020,22300,"Findlay, OH Micro Area",75765,39.3,57384,32829,34401,21903,10119,68.40,152600,758,25.5,-0.09,-1.82
2019,22300,"Findlay, OH Micro Area",75837,39.3,58450,32797,34199,21977,9960,68.81,147600,768,25.3,0.19,5.04
2018,22300,"Findlay, OH Micro Area",75690,39.2,55644,30794,34030,22074,9813,69.23,139900,747,24.9,0.24,5.32
2017,22300,"Findlay, OH Micro Area",75508,38.9,52831,29608,33881,22201,9848,69.27,132600,721,25.5,-0.22,2.38
2016,22300,"Findlay, OH Micro Area",75672,38.9,51604,28244,33569,21885,9664,69.37,130700,711,26.0,0.32,1.39
2015,22300,"Findlay, OH Micro Area",75428,39.2,50895,27129,33270,21951,9132,70.62,127100,679,26.9,0.18,1.45
2014,22300,"Findlay, OH Micro Area",75290,38.9,50166,26612,33221,21758,9037,70.65,124500,664,27.3,0.07,1.16
2013,22300,"Findlay, OH Micro Area",75239,38.4,49589,26139,33158,21634,8976,70.68,127800,652,28.0,0.26,0.48
2012,22300,"Findlay, OH Micro Area",75043,38.4,49350,25785,33171,21332,9010,70.31,129800,658,28.2,0.26,-1.08
2011,22300,"Findlay, OH Micro Area",74847,37.9,49888,25314,33010,21633,8792,71.10,130300,639,27.4,0.24,1.67
2010,22300,"Findlay, OH Micro Area",74670,37.7,49070,25158,32841,21767,8865,71.06,130400,633,27.1,,
2023,22340,"Fitzgerald, GA Micro Area",17138,38.5,39081,23099,8135,4283,2879,59.80,114600,692,23.8,-0.18,2.16
2022,22340,"Fitzgerald, GA Micro Area",17169,38.7,38255,22625,8122,4123,3003,57.86,100000,668,24.9,-0.39,11.03
2021,22340,"Fitzgerald, GA Micro Area",17237,39.5,34455,20298,8102,4018,2810,58.85,86100,699,26.8,2.06,7.41
2020,22340,"Fitzgerald, GA Micro Area",16889,39.5,32077,18241,8015,3806,2806,57.56,85500,677,28.4,-0.85,-0.47
2019,22340,"Fitzgerald, GA Micro Area",17033,39.9,32229,17774,8001,3791,2652,58.84,83400,656,27.3,-0.71,-1.46
2018,22340,"Fitzgerald, GA Micro Area",17154,39.7,32705,17563,7978,3905,2664,59.45,80100,626,28.5,-0.68,1.12
2017,22340,"Fitzgerald, GA Micro Area",17272,39.0,32344,16635,7948,3861,2500,60.70,81200,630,27.6,-0.76,9.60
2016,22340,"Fitzgerald, GA Micro Area",17405,39.1,29510,15311,7896,3935,2517,60.99,81100,606,32.2,-0.41,-1.61
2015,22340,"Fitzgerald, GA Micro Area",17477,38.6,29994,15316,7914,4101,2312,63.95,80900,613,31.3,-0.40,-2.12
2014,22340,"Fitzgerald, GA Micro Area",17547,38.6,30643,15497,7911,4211,2138,66.33,80400,609,32.7,-0.16,7.34
2013,22340,"Fitzgerald, GA Micro Area",17576,37.7,28547,14204,7911,3932,2178,64.35,79700,591,34.6,-35.52,-12.39
2012,22340,"Fitzgerald, GA Micro Area",27258,37.7,32586,16210,11990,6308,3260,65.93,76300,597,32.6,-0.09,-6.31
2011,22340,"Fitzgerald, GA Micro Area",27283,38.0,34781,16526,11981,6488,3018,68.25,78000,602,30.7,0.04,10.43
2010,22340,"Fitzgerald, GA Micro Area",27273,37.2,31497,15894,11994,6736,3185,67.90,75600,579,31.0,,
2023,22380,"Flagstaff, AZ Metro Area",144643,32.4,69748,35810,69907,31565,22077,58.84,413200,1406,31.3,-0.04,3.69
2022,22380,"Flagstaff, AZ Metro Area",144705,31.7,67266,32592,69233,30705,21288,59.06,379400,1353,31.6,-0.16,8.69
2021,22380,"Flagstaff, AZ Metro Area",144942,31.5,61888,30218,68446,30563,20474,59.88,320400,1302,33.2,1.89,4.89
2020,22380,"Flagstaff, AZ Metro Area",142254,31.0,59000,27631,66807,29789,19227,60.77,299100,1185,31.5,0.69,-0.77
2019,22380,"Flagstaff, AZ Metro Area",141274,30.7,59460,27339,66086,28962,18485,61.04,280900,1181,31.3,0.75,3.20
2018,22380,"Flagstaff, AZ Metro Area",140217,30.6,57616,26387,65438,28637,18639,60.57,261300,1131,32.0,1.14,7.65
2017,22380,"Flagstaff, AZ Metro Area",138639,30.6,53523,25722,64911,28235,19353,59.33,241400,1079,32.4,0.42,4.73
2016,22380,"Flagstaff, AZ Metro Area",138064,30.7,51106,24711,64435,28005,19361,59.12,231300,1025,32.1,1.00,1.74
2015,22380,"Flagstaff, AZ Metro Area",136701,30.8,50234,24308,63955,27868,18751,59.78,219300,1003,32.6,0.65,3.49
2014,22380,"Flagstaff, AZ Metro Area",135817,31.0,48540,23459,63890,27667,18724,59.64,217200,990,33.0,0.76,-2.05
2013,22380,"Flagstaff, AZ Metro Area",134795,31.0,49555,23382,63679,27500,18698,59.53,220400,996,32.8,0.59,2.56
2012,22380,"Flagstaff, AZ Metro Area",134011,30.9,48320,22664,63270,27791,17927,60.79,237200,950,32.9,0.78,-2.61
2011,22380,"Flagstaff, AZ Metro Area",132978,30.8,49615,22607,62944,27757,17509,61.32,246600,927,32.2,0.88,0.21
2010,22380,"Flagstaff, AZ Metro Area",131824,30.8,49510,22632,62293,27835,17643,61.21,257700,888,31.0,,
2023,22420,"Flint, MI Metro Area",404087,40.6,60673,34587,183729,117865,48510,70.84,172900,936,31.1,-0.29,3.55
2022,22420,"Flint, MI Metro Area",405280,40.5,58594,33562,183775,116882,49178,70.39,158400,893,31.0,-0.28,8.40
2021,22420,"Flint, MI Metro Area",406400,40.4,54052,30561,184024,116250,48655,70.50,133700,829,30.7,-0.09,7.53
2020,22420,"Flint, MI Metro Area",406770,40.5,50269,28696,192583,119384,51197,69.99,119500,781,30.9,-0.27,3.46
2019,22420,"Flint, MI Metro Area",407875,40.5,48588,27295,192290,117587,50315,70.03,111100,767,30.9,-0.36,3.37
2018,22420,"Flint, MI Metro Area",409361,40.3,47006,26386,192073,116693,51196,69.51,104800,755,32.0,-0.37,3.92
2017,22420,"Flint, MI Metro Area",410881,40.1,45231,25180,191958,117034,49804,70.15,96500,738,32.9,-0.53,4.59
2016,22420,"Flint, MI Metro Area",413090,39.9,43246,23755,191033,115243,51001,69.32,91800,720,33.1,-0.67,2.17
2015,22420,"Flint, MI Metro Area",415874,39.6,42327,22957,191178,114823,50445,69.48,88500,715,33.9,-0.66,1.07
2014,22420,"Flint, MI Metro Area",418654,39.1,41879,22536,191447,115167,50795,69.39,88300,718,35.4,-0.69,-0.50
2013,22420,"Flint, MI Metro Area",421575,38.8,42089,22380,191568,116462,49207,70.30,91700,711,35.9,-0.88,-1.50
2012,22420,"Flint, MI Metro Area",425337,38.4,42730,22526,192240,117000,49386,70.32,99900,695,35.6,-0.92,-1.58
2011,22420,"Flint, MI Metro Area",429272,37.9,43418,22577,192701,118158,48321,70.97,109000,685,34.6,-0.87,-0.15
2010,22420,"Flint, MI Metro Area",433054,37.6,43483,22458,193359,121352,47632,71.81,118000,662,34.0,,
2023,22500,"Florence, SC Metro Area",199675,39.9,53874,31324,91063,51607,25989,66.51,158800,898,31.5,-0.18,2.81
2022,22500,"Florence, SC Metro Area",200040,39.7,52401,30130,90452,51071,26195,66.10,150300,848,29.9,-0.33,8.43
2021,22500,"Florence, SC Metro Area",200709,40.0,48328,27698,89818,50961,26069,66.16,130300,793,29.0,-2.14,7.31
2020,22500,"Florence, SC Metro Area",205095,39.9,45037,25454,92248,52942,26055,67.02,125100,754,28.4,-0.20,2.09
2019,22500,"Florence, SC Metro Area",205502,39.9,44114,25116,91544,52717,25955,67.01,118600,745,28.9,-0.15,5.41
2018,22500,"Florence, SC Metro Area",205814,39.7,41851,23985,90780,52599,26044,66.88,114700,723,29.4,-0.14,2.36
2017,22500,"Florence, SC Metro Area",206109,39.6,40888,22954,90353,52715,26238,66.77,112600,699,29.7,-0.08,1.08
2016,22500,"Florence, SC Metro Area",206264,39.4,40452,22345,89370,52405,25751,67.05,110700,670,29.6,0.01,0.27
2015,22500,"Florence, SC Metro Area",206252,38.9,40345,21867,89255,52231,26033,66.74,109000,659,30.6,0.02,-0.81
2014,22500,"Florence, SC Metro Area",206219,38.6,40673,21623,89180,52211,25850,66.88,106100,651,30.6,0.23,1.02
2013,22500,"Florence, SC Metro Area",205739,38.3,40261,21659,88850,52317,25624,67.12,104700,636,30.0,0.26,-0.93
2012,22500,"Florence, SC Metro Area",205214,38.1,40639,21600,88792,53359,24837,68.24,101900,632,29.2,0.33,0.18
2011,22500,"Florence, SC Metro Area",204549,37.9,40565,21710,88414,53157,24630,68.34,99900,617,29.8,0.52,1.70
2010,22500,"Florence, SC Metro Area",203499,37.7,39886,21313,87677,53220,24221,68.72,97500,591,27.5,,
2023,22520,"Florence-Muscle Shoals, AL Metro Area",152685,41.3,58049,33252,72688,43450,19544,68.97,175800,813,27.0,0.72,3.45
2022,22520,"Florence-Muscle Shoals, AL Metro Area",151599,41.3,56113,31940,72414,42335,19168,68.83,164400,787,27.2,0.98,10.15
2021,22520,"Florence-Muscle Shoals, AL Metro Area",150131,41.3,50942,29070,72024,41711,18857,68.87,144800,722,27.6,1.56,5.59
2020,22520,"Florence-Muscle Shoals, AL Metro Area",147827,41.8,48244,27524,71999,41818,18492,69.34,140000,683,27.4,0.34,0.33
2019,22520,"Florence-Muscle Shoals, AL Metro Area",147327,41.7,48084,27105,71589,42010,18341,69.61,135300,675,27.8,0.17,3.00
2018,22520,"Florence-Muscle Shoals, AL Metro Area",147080,42.0,46683,26348,71258,42225,18088,70.01,127500,670,28.2,0.04,3.53
2017,22520,"Florence-Muscle Shoals, AL Metro Area",147025,42.0,45090,25015,70870,42439,18178,70.01,120400,640,28.0,0.00,3.19
2016,22520,"Florence-Muscle Shoals, AL Metro Area",147018,41.8,43696,24310,70469,42255,18211,69.88,117000,614,28.7,-0.11,3.10
2015,22520,"Florence-Muscle Shoals, AL Metro Area",147181,41.5,42381,23598,70226,42590,18226,70.03,112300,606,29.6,-0.06,1.10
2014,22520,"Florence-Muscle Shoals, AL Metro Area",147271,41.4,41919,23156,70017,42962,18171,70.28,110400,601,30.9,0.10,0.73
2013,22520,"Florence-Muscle Shoals, AL Metro Area",147122,41.1,41616,22793,69667,42926,17792,70.70,109200,596,29.8,0.10,2.82
2012,22520,"Florence-Muscle Shoals, AL Metro Area",146979,40.8,40473,22593,69558,43297,17294,71.46,108300,596,31.1,0.16,1.37
2011,22520,"Florence-Muscle Shoals, AL Metro Area",146747,40.7,39927,22321,69278,43561,17076,71.84,104200,579,30.6,0.37,1.18
2010,22520,"Florence-Muscle Shoals, AL Metro Area",146208,40.3,39460,21871,69018,43814,16064,73.17,102600,556,31.7,,
2023,22540,"Fond du Lac, WI Metro Area",104053,41.9,73154,38436,45908,30260,12756,70.35,209800,926,24.8,0.02,3.96
2022,22540,"Fond du Lac, WI Metro Area",104027,41.9,70368,36824,45711,29931,12437,70.65,195800,892,24.9,0.13,5.99
2021,22540,"Fond du Lac, WI Metro Area",103890,41.6,66390,34271,45584,30110,12041,71.43,167800,811,23.4,1.20,3.50
2020,22540,"Fond du Lac, WI Metro Area",102654,41.7,64147,32508,45338,29588,12302,70.63,162600,786,24.2,0.06,2.81
2019,22540,"Fond du Lac, WI Metro Area",102597,41.6,62391,31653,45206,29192,12350,70.27,157800,747,24.7,0.28,5.08
2018,22540,"Fond du Lac, WI Metro Area",102315,41.5,59373,30454,45035,29448,11898,71.22,152900,738,26.5,0.23,2.73
2017,22540,"Fond du Lac, WI Metro Area",102082,41.2,57798,29431,44820,29466,11921,71.20,149400,734,27.1,0.11,2.52
2016,22540,"Fond du Lac, WI Metro Area",101968,41.1,56376,28036,44505,29416,11613,71.70,147000,709,27.1,0.05,1.63
2015,22540,"Fond du Lac, WI Metro Area",101920,41.0,55473,27474,44326,29372,11697,71.52,146100,688,26.4,0.21,1.73
2014,22540,"Fond du Lac, WI Metro Area",101709,40.9,54529,27158,44223,29325,11965,71.02,146200,695,26.7,0.04,1.32
2013,22540,"Fond du Lac, WI Metro Area",101666,40.5,53820,26368,43996,29182,12085,70.72,145800,683,26.7,0.09,0.79
2012,22540,"Fond du Lac, WI Metro Area",101577,40.3,53399,26331,43880,29333,11724,71.44,145800,674,27.0,0.22,1.29
2011,22540,"Fond du Lac, WI Metro Area",101351,40.1,52717,25934,43695,29264,11568,71.67,145200,650,27.6,0.43,2.27
2010,22540,"Fond du Lac, WI Metro Area",100919,39.8,51549,25360,43451,29363,11121,72.53,143000,635,28.1,,
2023,22580,"Forest City, NC Micro Area",64850,45.3,49771,29217,32682,19699,6890,74.09,180800,748,27.1,0.26,-1.47
2022,22580,"Forest City, NC Micro Area",64680,44.9,50512,28873,32640,19271,7002,73.35,158200,729,28.2,0.14,11.02
2021,22580,"Forest City, NC Micro Area",64592,45.1,45500,26147,32635,18645,7280,71.92,133600,685,30.4,-3.22,5.37
2020,22580,"Forest City, NC Micro Area",66741,45.2,43183,24308,34482,19714,7811,71.62,125100,655,29.5,0.21,1.35
2019,22580,"Forest City, NC Micro Area",66599,45.0,42608,23978,34401,19088,7595,71.54,118300,636,27.2,0.10,5.60
2018,22580,"Forest City, NC Micro Area",66532,44.7,40347,22493,34275,18787,7558,71.31,114800,639,28.1,0.01,4.60
