year,zcta,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,71427,232,23.7,67663,15420,89,46,9,83.64,129000,-666666666,-666666666.0
2023,71428,0,-666666666.0,-666666666,-666666666,0,0,0,NaN,-666666666,-666666666,-666666666.0
2023,71429,3101,47.1,57576,28264,2066,1107,219,83.48,117000,877,22.5
2023,71430,2527,34.2,39917,27881,1082,612,322,65.52,174700,1085,51.0
2023,71432,824,35.8,45000,23883,451,285,53,84.32,57300,910,51.0
2023,71433,3984,39.7,57533,33180,1995,1226,310,79.82,150500,731,29.0
2023,71434,91,59.2,51518,21934,45,31,0,100.00,134800,-666666666,-666666666.0
2023,71435,3533,45.5,69792,30970,1691,1062,414,71.95,137300,899,51.0
2023,71438,877,49.8,56516,37459,459,333,52,86.49,157500,-666666666,-666666666.0
2023,71439,1715,26.9,47284,22343,695,417,110,79.13,119900,761,24.6
2023,71441,812,43.0,-666666666,31122,277,253,24,91.34,22900,-666666666,-666666666.0
2023,71446,22047,37.1,56767,29241,10812,5461,3169,63.28,157000,892,27.7
2023,71447,1092,39.6,45865,25501,654,359,38,90.43,87500,638,18.8
2023,71449,8818,42.0,54534,30124,5787,2687,660,80.28,190000,652,27.4
2023,71450,828,45.6,41867,24874,558,341,23,93.68,-666666666,-666666666,-666666666.0
2023,71452,78,29.2,-666666666,22483,132,28,1,96.55,-666666666,-666666666,-666666666.0
2023,71454,2922,41.4,52862,26476,1464,987,148,86.96,75600,825,42.4
2023,71455,214,12.2,-666666666,,154,14,51,21.54,-666666666,-666666666,-666666666.0
2023,71456,796,62.1,66667,62129,694,408,72,85.00,260600,338,51.0
2023,71457,25485,33.0,47410,27426,12086,5554,4172,57.10,194200,801,35.9
2023,71459,10090,23.4,56783,29167,3652,15,3232,0.46,-666666666,1140,24.7
2023,71461,2253,37.3,49188,26685,1158,475,550,46.34,123200,767,24.7
2023,71462,1562,42.3,47917,24735,954,485,107,81.93,74900,731,26.3
2023,71463,9007,41.0,46658,23647,3699,2031,761,72.74,111800,733,36.0
2023,71465,3446,33.3,50197,29796,1368,883,220,80.05,104100,489,30.7
2023,71466,323,61.3,-666666666,21754,250,183,0,100.00,145900,-666666666,-666666666.0
2023,71467,8087,37.7,61221,21241,2249,1619,345,82.43,195300,704,23.3
2023,71468,451,66.2,105417,49627,304,225,18,92.59,211000,-666666666,-666666666.0
2023,71469,2914,32.6,46635,22202,1540,732,234,75.78,91900,1051,36.4
2023,71472,3,-666666666.0,-666666666,,1,1,0,100.00,-666666666,-666666666,-666666666.0
2023,71473,478,38.1,40167,13709,241,147,17,89.63,64700,-666666666,-666666666.0
2023,71474,373,45.0,81429,32735,196,142,8,94.67,150000,-666666666,-666666666.0
2023,71475,0,-666666666.0,-666666666,-666666666,0,0,0,NaN,-666666666,-666666666,-666666666.0
2023,71479,743,31.3,66250,27739,269,128,66,65.98,101600,664,51.0
2023,71480,1186,39.1,67500,15802,238,164,24,87.23,104000,1042,28.9
2023,71483,9360,41.8,49928,26286,4335,2076,1107,65.22,119600,607,24.9
2023,71485,2929,34.5,75813,37818,1169,772,268,74.23,291300,841,35.1
2023,71486,5042,37.0,48182,25736,2746,1439,381,79.07,111000,565,35.9
2023,71497,1729,19.6,2499,5072,374,7,186,3.63,-666666666,-666666666,51.0
2023,71601,13981,32.1,36688,18177,6573,2620,2264,53.64,67800,802,32.1
2023,71602,15922,39.8,54936,28650,7489,3743,2250,62.46,135800,900,27.4
2023,71603,29274,41.0,51019,27740,13997,7499,3988,65.28,116000,859,28.4
2023,71630,487,46.1,40729,20312,269,161,47,77.40,89600,619,18.3
2023,71631,508,49.5,34063,18923,350,162,34,82.65,54100,-666666666,-666666666.0
2023,71635,10368,42.9,48268,27023,5415,2794,1333,67.70,93500,647,30.5
2023,71638,3313,41.6,32049,17367,1489,706,401,63.78,70800,645,25.4
2023,71639,5385,41.2,36944,21385,2819,1415,953,59.76,97700,712,26.3
2023,71640,2190,54.9,26795,21464,1322,772,307,71.55,57200,558,19.3
2023,71642,834,32.1,55313,17031,320,232,12,95.08,175800,-666666666,-666666666.0
2023,71643,5241,40.8,31728,4601,655,389,118,76.73,58000,387,25.8
2023,71644,450,65.2,72601,29727,331,176,53,76.86,128900,658,11.9
2023,71646,6683,39.4,38707,21892,2901,1836,572,76.25,91700,638,25.3
2023,71647,1430,33.9,34643,21825,913,387,147,72.47,76900,488,20.6
2023,71651,46,48.5,-666666666,51230,115,15,0,100.00,-666666666,-666666666,-666666666.0
2023,71652,1014,33.4,33438,23859,573,257,62,80.56,56100,804,22.3
2023,71653,4765,38.6,61375,30003,2425,1242,572,68.47,148500,944,25.1
2023,71654,4290,36.7,40839,25100,2058,942,795,54.23,95500,704,33.5
2023,71655,13892,37.5,40878,26897,6659,3461,2249,60.61,132500,703,26.6
2023,71658,398,53.6,42708,22257,376,151,30,83.43,52800,-666666666,-666666666.0
